P1,[01]*1{2}[01]+,g,111,110,1110,0110,11101010,1010110101,,,,,,,,
P1,[01]*1{2}[01]+,b,0110,1111,11101010,1101,111,,,,,,,,,
P1,[01]*1+1{1},b,11,111,011,010111,01011111,,,,,,,,,
P1,[01]*1+1{1},g,11,111,011,0111,0010011,,,,,,,,,
P1,1{2}[01]{2},g,1100,1101,1110,,,,,,,,,,,
P1,1{2}[01]{2},b,1100,1101,1110,1111,,,,,,,,,,
P1,1{2}0+,b,110,1100,110000,,,,,,,,,,,
P1,1{2}0+,g,110,1100,,,,,,,,,,,,
P2,0{1}1*,b,0,0111,01,011111111,011,0111111,01111,,,,,,,
P2,0{1}1*,g,0111111,0,,,,,,,,,,,,
P2,[01]*1{2}0+,g,110,1100000,0110,,,,,,,,,,,,
P2,[01]*1{2}0+,b,110,110000,0110,1110,0110100110,110000000,010101100,01010110,00110,10110,,,,
P2,[01]*0{2}1*,b,00,001,00111,001111,100,,,,,,,,,
P2,[01]*0{2}1*,g,00,001,100,,,,,,,,,,,
P2,[01]{2}0*,g,00,01,10,0100000,,,,,,,,,,
P2,[01]{2}0*,b,00,10,01,010000,010,110,000,,,,,,,
P5,[01]*1+[01]{1},g,11,01110,011,010,,,,,,,,,,
P5,[01]*1+[01]{1},b,10,11,010,011110,001110,,,,,,,,,
P5,[01]{2}0{2},b,0000,1100,1000,0100,,,,,,,,,,
P5,[01]{2}0{2},g,0000,1100,,,,,,,,,,,,
P5,1{1}0*,g,1,10,,,,,,,,,,,,
P5,1{1}0*,b,1,10,100,1000,10000,100000,1000000,10000000,100000000,,,,,
P5,0+[01]{2},b,000,001,011,00011,,,,,,,,,,
P5,0+[01]{2},g,011,000,00010,,,,,,,,,,,
P6,1*0{2},b,11100,111111100,100,1100,11111100,111100,,,,,,,,
P6,1*0{2},g,100,00,,,,,,,,,,,,
P6,0{1}[01]+,g,010101011,01,00,,,,,,,,,,,
P6,0{1}[01]+,b,00,01,0111111111,0000000,01111110,000000001,0101,,,,,,,
P6,1{1}[01]{2},b,100,111,101,110,,,,,,,,,,
P6,1{1}[01]{2},g,100,101,,,,,,,,,,,,
P6,[01]*1{2}0+,g,0110,1110,110,111000000,,,,,,,,,,
P6,[01]*1{2}0+,b,1110000000,1110,11100000,110,011000000,00000110,01100000,11000,,,,,,
P9,[01]+1{2},g,000111,111,11111,011,1010011,,,,,,,,,
P9,[01]+1{2},b,011,111,001101011,001111,0111,0101011,001011,1010011,,,,,,
P9,1{2}0+,b,110,1100,110000,11000000,11000,1100000000,110000000,,,,,,,
P9,1{2}0+,g,110,1100,,,,,,,,,,,,
P9,0{2}1+,g,001,00111,,,,,,,,,,,,
P9,0{2}1+,b,001,00111,0011,001111111,001111,00111111,,,,,,,,
P9,1+[01]+,b,10,11,1110,1111,110101,1100,110001,110,,,,,,
P9,1+[01]+,g,10,11,110,111,101,1000,,,,,,,,
P10,[01]{2}[01]{2},b,0011,1011,,,,,,,,,,,,
P10,[01]{2}[01]{2},g,0000,1010,,,,,,,,,,,,
P10,[01]*0{1}1{2},g,011,0011,000011,101011,,,,,,,,,,
P10,[01]*0{1}1{2},b,011,000011,101011,,,,,,,,,,,
P10,[01]{2}0*,b,00,01,1100,11,110,1000,100000,11000,,,,,,
P10,[01]{2}0*,g,00,000,110,,,,,,,,,,,
P10,[01]*1+0+,g,111100,10,1100,110,1010110,,,,,,,,,
P10,[01]*1+0+,b,10,10101100,11000,11100,00010,00110,01011100,011100,01111110,1110,010,10110,011011110,
P13,0+1{2},g,011,0011,,,,,,,,,,,,
P13,0+1{2},b,011,0011,00011,000011,0000011,00000011,000000011,0000000011,,,,,,
P13,0*1+,b,1,01,001,11,011,0011,111,1111,0111,00111,000111,0001,11111,111111
P13,0*1+,g,1,11,01,001,,,,,,,,,,
P13,1{2}[01]{2},g,1100,1101,1110,,,,,,,,,,,
P13,1{2}[01]{2},b,1100,1101,1110,1111,,,,,,,,,,
P13,[01]*0{1}1{2},b,011,0011,1011,00011,10011,11011,01011,000011,001011,010011,011011,100011,101011,
P13,[01]*0{1}1{2},g,011,0011,1011,00011,,,,,,,,,,
P14,1+0*,b,11,110,100,1,11111,,,,,,,,,
P14,1+0*,g,1,110,1000,,,,,,,,,,,
P14,[01]*1+0+,g,010,0110,10110,101100,,,,,,,,,,
P14,[01]*1+0+,b,0010,110,101100,,,,,,,,,,,
P14,0*1{2},b,011,0011,00011,000011,11,,,,,,,,,
P14,0*1{2},g,11,011,,,,,,,,,,,,
P14,0*1{1},g,1,01,,,,,,,,,,,,
P14,0*1{1},b,1,01,001,0001,,,,,,,,,,
P17,1*0+,g,111110,1000,000,,,,,,,,,,,
P17,1*0+,b,1100,00,0,,,,,,,,,,,
P17,[01]*[01]{2}0+,b,0010,001,00100000,010,101,1010,100,01011100,0111,011100,011111,01111100,,
P17,[01]*[01]{2}0+,g,0110,0110000,0100000,10010,1111010,100001000,100,01000,,,,,,
P17,0+[01]*,g,00,01,011,0111,01010,0,,,,,,,,
P17,0+[01]*,b,01010,01,0,,,,,,,,,,,
P17,[01]+1+,b,01,11,011,0111,,,,,,,,,,
P17,[01]+1+,g,01,11,011,0111,1111,10101,,,,,,,,
P18,1{1}0*,g,1,10,,,,,,,,,,,,
P18,1{1}0*,b,1,10,100,1000,1000000,,,,,,,,,
P18,[01]*1{1}[01]+,b,11,111,01111,0000111000,0000111100011,0001010101,1010101,10,,,,,,
P18,[01]*1{1}[01]+,g,10,11,01,111,011,010,0010001,001010101,11110101,1111010,,,,
P18,0{2}0{2},g,0000,,,,,,,,,,,,,
P18,0{2}0{2},b,0000,,,,,,,,,,,,,
P18,0{1}[01]{2},b,011,000,010,001,,,,,,,,,,
P18,0{1}[01]{2},g,000,001,011,,,,,,,,,,,
P21,1{2}0+,g,1100,110,,,,,,,,,,,,
P21,1{2}0+,b,1100000000,1100000,1100,,,,,,,,,,,
P21,0{2}[01]*,b,00,00111,001111,0000000,001,000,0011111,001010,0011100,00010100,,,,
P21,0{2}[01]*,g,00,001,00110,,,,,,,,,,,
P21,1+1+,g,11,11111,,,,,,,,,,,,
P21,1+1+,b,11,111111,111,11111111,1111,11111,111111111,,,,,,,
P21,1+0*,b,11,111,1000,11000,11110,,,,,,,,,
P21,1+0*,g,1111,1110,1111000,,,,,,,,,,,
P22,1{1}[01]{2},b,101,100,,,,,,,,,,,,
P22,1{1}[01]{2},g,101,,,,,,,,,,,,,
P22,[01]{2},g,01,10,,,,,,,,,,,,
P22,[01]{2},b,01,10,11,00,,,,,,,,,,
P22,[01]*[01]{2}0+,b,11110100,11110000,1111010,11010,110100,10100,010,100,000,,,,,
P22,[01]*[01]{2}0+,g,1111010,0010,0000,,,,,,,,,,,
P22,[01]{1}1{1},g,01,11,,,,,,,,,,,,
P22,[01]{1}1{1},b,01,11,,,,,,,,,,,,
P25,[01]{1}0{1},g,10,00,,,,,,,,,,,,
P25,[01]{1}0{1},b,10,00,,,,,,,,,,,,
P25,1{2}0{2},b,1100,,,,,,,,,,,,,
P25,1{2}0{2},g,1100,,,,,,,,,,,,,
P25,0{2}1*,g,00,001,0011,,,,,,,,,,,
P25,0{2}1*,b,00,001,0011,00111,001111,0011111,00111111,001111111,0011111111,,,,,
P25,[01]*[01]{2}[01]{2},b,0000,1111,0011,,,,,,,,,,,
P25,[01]*[01]{2}[01]{2},g,0011,1100,10011,11100,01100,00011,111110011,111111100,00000,01111,000001100,,,
P26,[01]*1+0*,b,0110,1100,1100000,111110,11111000000,,,,,,,,,
